ID,Age,Sex,Day,R_side_pref
M24,6 wk,M,12,0.065217391
M25,3 wk,M,12,0.27027027
M26,3 wk,M,12,0.179487179
M27,3 wk,M,12,0.341463415
M19,18 wk,M,13,0.666666667
M20,18 wk,M,13,0.063829787
M21,18 wk,M,13,0
M22,6 wk,M,13,0
M23,6 wk,M,13,0
M24,6 wk,M,13,0
M25,3 wk,M,13,0.351351351
M26,3 wk,M,13,0.277777778
M27,3 wk,M,13,0.219512195
M19,18 wk,M,14,0.333333333
M20,18 wk,M,14,0.071428571
M21,18 wk,M,14,0.117647059
M22,6 wk,M,14,0.183673469
M23,6 wk,M,14,0.2
M24,6 wk,M,14,0.052631579
M25,3 wk,M,14,0.5
M26,3 wk,M,14,0.28
M27,3 wk,M,14,0.261904762
